Day fraction since midnight on 	Accumulator pressure (Pa)	DO probe (mg/L)	Lab Air supply pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.6201945319	25009.2968750000	-0.0308483746	23120.7402343750	NaN	20808.6662109375	23120.7402343750	20808.6662109375	10808.6662109375	613.5000000000	17.6180378336	20808.6662109375
0.6202061091	24952.0253906250	-0.0325183496	23120.7402343750	NaN	20808.6662109375	23120.7402343750	20808.6662109375	10808.6662109375	613.5000000000	17.6180378336	20808.6662109375
0.6202176910	25155.8613281250	-0.0292098448	23120.7402343750	NaN	20808.6662109375	23120.7402343750	20808.6662109375	10808.6662109375	613.5000000000	17.6180378336	20808.6662109375
0.6202292499	24939.1679687500	-0.0347625241	23120.7402343750	NaN	20808.6662109375	23120.7402343750	20808.6662109375	10808.6662109375	613.5000000000	17.6180378336	20808.6662109375
0.6202408227	24945.2265625000	-0.0296746753	23120.7402343750	NaN	20808.6662109375	23120.7402343750	20808.6662109375	10808.6662109375	613.5000000000	17.6180378336	20808.6662109375
0.6202523955	25011.3925781250	-0.0358172804	23108.6035156250	NaN	20797.7431640625	23108.6035156250	20797.7431640625	10797.7431640625	613.5000000000	17.6002333563	20797.7431640625
0.6202639626	25013.1875000000	-0.0385269746	23108.6035156250	NaN	20797.7431640625	23108.6035156250	20797.7431640625	10797.7431640625	613.5000000000	17.6002333563	20797.7431640625
0.6202755467	25126.9160156250	-0.0306200609	23108.6035156250	NaN	20797.7431640625	23108.6035156250	20797.7431640625	10797.7431640625	613.5000000000	17.6002333563	20797.7431640625
0.6202871104	25178.8281250000	-0.0329681411	23108.6035156250	NaN	20797.7431640625	23108.6035156250	20797.7431640625	10797.7431640625	613.5000000000	17.6002333563	20797.7431640625
0.6202986941	25340.1777343750	-0.0322326124	23108.6035156250	NaN	20797.7431640625	23108.6035156250	20797.7431640625	10797.7431640625	613.5000000000	17.6002333563	20797.7431640625
0.6203102818	25339.4707031250	-0.0318081155	23105.9882812500	NaN	20795.3894531250	23105.9882812500	20795.3894531250	10795.3894531250	613.5000000000	17.5963968266	20795.3894531250
0.6203218455	25216.9980468750	-0.0328936316	23105.9882812500	NaN	20795.3894531250	23105.9882812500	20795.3894531250	10795.3894531250	613.5000000000	17.5963968266	20795.3894531250
0.6203334089	25004.4238281250	-0.0311300084	23105.9882812500	NaN	20795.3894531250	23105.9882812500	20795.3894531250	10795.3894531250	613.5000000000	17.5963968266	20795.3894531250
0.6203449879	24903.0214843750	-0.0276307873	23105.9882812500	NaN	20795.3894531250	23105.9882812500	20795.3894531250	10795.3894531250	613.5000000000	17.5963968266	20795.3894531250
0.6203565878	24786.4511718750	-0.0336031802	23105.9882812500	NaN	20795.3894531250	23105.9882812500	20795.3894531250	10795.3894531250	613.5000000000	17.5963968266	20795.3894531250
